;FR20045;FR20049;FR20003;FR20017;FR20020;FR20037;FR20036;FR20004;FR20048;FR20046;FR20204;FR20061;FR20062;FR20077
26/03/2000;47.0;63.0;18.0;68.0;40.0;49.0;58.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/03/2000;30.0;66.0;16.0;58.0;36.0;44.0;46.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/03/2000;25.0;60.0;11.0;45.0;26.0;33.0;35.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/03/2000;7.0;32.0;6.0;20.0;11.0;14.0;13.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/03/2000;23.0;59.0;5.0;26.0;20.0;28.0;27.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
31/03/2000;44.0;76.0;11.0;42.0;34.0;37.0;44.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/04/2000;49.0;64.0;8.0;37.0;26.0;33.0;45.0;27.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/04/2000;74.0;76.0;26.0;74.0;61.0;65.0;73.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/04/2000;63.0;74.0;25.0;-1.0;58.0;66.0;69.0;54.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/04/2000;46.0;70.0;16.0;-1.0;50.0;57.0;57.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/04/2000;27.0;57.0;12.0;43.0;32.0;39.0;38.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/04/2000;29.0;51.0;12.0;32.0;26.0;34.0;32.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/04/2000;34.0;70.0;12.0;40.0;34.0;39.0;39.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/04/2000;61.0;89.0;15.0;48.0;44.0;47.0;54.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/04/2000;52.0;85.0;19.0;60.0;43.0;49.0;61.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/04/2000;39.0;78.0;10.0;40.0;31.0;36.0;39.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/04/2000;50.0;77.0;7.0;33.0;27.0;44.0;44.0;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/04/2000;48.0;86.0;21.0;67.0;55.0;63.0;58.0;56.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/04/2000;55.0;79.0;19.0;41.0;38.0;54.0;50.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/04/2000;93.0;96.0;52.0;81.0;79.0;78.0;88.0;60.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/04/2000;77.0;86.0;44.0;68.0;62.0;70.0;78.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/04/2000;84.0;87.0;53.0;79.0;69.0;87.0;87.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/04/2000;53.0;72.0;25.0;34.0;29.0;49.0;43.0;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/04/2000;40.0;82.0;23.0;38.0;32.0;46.0;38.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/04/2000;32.0;83.0;30.0;59.0;41.0;61.0;51.0;59.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/04/2000;44.0;82.0;18.0;28.0;27.0;38.0;34.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/04/2000;49.0;84.0;20.0;34.0;30.0;52.0;48.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/04/2000;106.0;93.0;71.0;72.0;87.0;106.0;104.0;95.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/04/2000;53.0;78.0;34.0;43.0;45.0;64.0;59.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/04/2000;53.0;82.0;41.0;45.0;48.0;52.0;56.0;53.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/04/2000;58.0;75.0;26.0;33.0;45.0;52.0;52.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/04/2000;82.0;90.0;44.0;54.0;64.0;82.0;81.0;74.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/04/2000;40.0;63.0;19.0;29.0;37.0;38.0;45.0;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/04/2000;40.0;65.0;16.0;21.0;23.0;35.0;40.0;30.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/04/2000;40.0;67.0;25.0;31.0;28.0;39.0;38.0;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/04/2000;54.0;84.0;33.0;35.0;42.0;45.0;51.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/05/2000;58.0;88.0;39.0;45.0;54.0;63.0;67.0;60.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/05/2000;33.0;86.0;33.0;34.0;49.0;53.0;45.0;56.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/05/2000;47.0;73.0;20.0;29.0;43.0;27.0;48.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/05/2000;86.0;87.0;36.0;44.0;73.0;76.0;75.0;65.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/05/2000;74.0;88.0;38.0;43.0;49.0;72.0;70.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/05/2000;37.0;67.0;15.0;32.0;31.0;26.0;32.0;27.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/05/2000;55.0;69.0;30.0;52.0;44.0;47.0;53.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/05/2000;70.0;78.0;38.0;61.0;59.0;53.0;65.0;62.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/05/2000;52.0;74.0;23.0;39.0;-1.0;29.0;45.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/05/2000;37.0;-1.0;18.0;36.0;36.0;30.0;37.0;41.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/05/2000;56.0;-1.0;18.0;41.0;46.0;45.0;46.0;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/05/2000;45.0;74.0;29.0;54.0;44.0;54.0;54.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/05/2000;48.0;-1.0;34.0;57.0;55.0;51.0;50.0;61.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/05/2000;61.0;-1.0;39.0;66.0;48.0;66.0;59.0;74.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/05/2000;80.0;-1.0;40.0;65.0;68.0;72.0;77.0;66.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/05/2000;98.0;-1.0;53.0;83.0;89.0;94.0;91.0;88.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/05/2000;44.0;65.0;22.0;40.0;42.0;48.0;52.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/05/2000;33.0;73.0;20.0;47.0;51.0;40.0;44.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/05/2000;45.0;68.0;30.0;59.0;59.0;54.0;58.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/05/2000;60.0;75.0;44.0;71.0;58.0;62.0;68.0;66.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/05/2000;58.0;71.0;36.0;60.0;52.0;55.0;59.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/05/2000;44.0;66.0;34.0;54.0;51.0;55.0;58.0;53.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/05/2000;51.0;78.0;36.0;66.0;57.0;57.0;51.0;67.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/05/2000;64.0;95.0;26.0;61.0;47.0;61.0;65.0;60.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/05/2000;31.0;65.0;9.0;22.0;25.0;34.0;37.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/05/2000;59.0;71.0;25.0;54.0;58.0;64.0;61.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/05/2000;83.0;82.0;53.0;71.0;66.0;79.0;75.0;74.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/05/2000;60.0;65.0;31.0;48.0;48.0;50.0;54.0;47.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/05/2000;45.0;71.0;33.0;60.0;52.0;51.0;59.0;56.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/05/2000;31.0;53.0;17.0;32.0;36.0;28.0;35.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
31/05/2000;31.0;56.0;20.0;40.0;31.0;42.0;36.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/06/2000;68.0;89.0;40.0;59.0;52.0;56.0;58.0;64.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/06/2000;99.0;103.0;46.0;77.0;87.0;85.0;96.0;84.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/06/2000;94.0;88.0;56.0;79.0;78.0;88.0;89.0;84.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/06/2000;91.0;92.0;66.0;87.0;83.0;94.0;98.0;103.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/06/2000;51.0;73.0;31.0;54.0;56.0;61.0;59.0;58.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/06/2000;35.0;70.0;29.0;45.0;40.0;45.0;51.0;48.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/06/2000;57.0;81.0;49.0;69.0;62.0;72.0;73.0;71.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/06/2000;88.0;106.0;60.0;78.0;91.0;82.0;84.0;82.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/06/2000;108.0;111.0;67.0;98.0;107.0;107.0;107.0;97.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/06/2000;76.0;73.0;47.0;72.0;68.0;69.0;76.0;68.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/06/2000;36.0;55.0;24.0;45.0;40.0;43.0;40.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/06/2000;57.0;67.0;46.0;61.0;58.0;53.0;64.0;57.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/06/2000;51.0;74.0;34.0;59.0;58.0;57.0;68.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/06/2000;54.0;71.0;37.0;60.0;59.0;66.0;72.0;63.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/06/2000;50.0;70.0;41.0;66.0;57.0;64.0;71.0;67.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/06/2000;61.0;79.0;45.0;69.0;64.0;67.0;74.0;75.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/06/2000;87.0;116.0;71.0;105.0;104.0;100.0;107.0;105.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/06/2000;102.0;115.0;72.0;105.0;102.0;90.0;102.0;99.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/06/2000;121.0;106.0;72.0;99.0;108.0;113.0;118.0;98.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/06/2000;125.0;101.0;72.0;98.0;113.0;115.0;117.0;96.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/06/2000;109.0;98.0;50.0;75.0;89.0;88.0;97.0;77.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/06/2000;62.0;59.0;36.0;53.0;50.0;62.0;68.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/06/2000;43.0;61.0;24.0;56.0;48.0;52.0;60.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/06/2000;41.0;59.0;34.0;59.0;48.0;48.0;57.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/06/2000;68.0;62.0;53.0;73.0;69.0;72.0;77.0;69.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/06/2000;66.0;77.0;49.0;70.0;69.0;61.0;78.0;68.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/06/2000;82.0;91.0;52.0;77.0;73.0;76.0;85.0;78.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/06/2000;38.0;70.0;28.0;45.0;37.0;40.0;51.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/06/2000;68.0;93.0;52.0;86.0;77.0;79.0;88.0;88.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/06/2000;74.0;87.0;47.0;83.0;72.0;80.0;75.0;79.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/07/2000;80.0;81.0;39.0;69.0;68.0;75.0;82.0;70.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/07/2000;103.0;71.0;66.0;86.0;85.0;101.0;99.0;80.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/07/2000;74.0;67.0;40.0;69.0;68.0;77.0;80.0;63.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/07/2000;39.0;59.0;26.0;57.0;56.0;54.0;57.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/07/2000;57.0;63.0;28.0;56.0;50.0;56.0;53.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/07/2000;86.0;93.0;44.0;68.0;76.0;81.0;75.0;71.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/07/2000;75.0;79.0;46.0;78.0;80.0;81.0;84.0;78.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/07/2000;58.0;60.0;41.0;65.0;63.0;67.0;70.0;62.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/07/2000;49.0;50.0;35.0;54.0;51.0;51.0;53.0;54.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/07/2000;37.0;44.0;13.0;29.0;37.0;32.0;34.0;27.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/07/2000;32.0;54.0;26.0;53.0;55.0;48.0;46.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/07/2000;27.0;55.0;22.0;40.0;37.0;34.0;39.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/07/2000;31.0;49.0;16.0;31.0;31.0;36.0;38.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/07/2000;30.0;41.0;14.0;32.0;25.0;32.0;32.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/07/2000;38.0;52.0;30.0;41.0;42.0;41.0;45.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/07/2000;45.0;49.0;43.0;49.0;45.0;41.0;51.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/07/2000;36.0;58.0;34.0;50.0;45.0;45.0;50.0;50.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
